dictionary,"এক ধরণের বই, যাতে একটি নির্দিষ্ট ভাষার শব্দসমূহ বর্ণানুক্রমে তালিকাভূক্ত থাকে এবং শব্দসমূহের অর্থ, উচ্চারণ, ব্যূৎপত্তি, ব্যবহার ইত্যাদি বর্ণিত ও ব্যাখ্যায়িত থাকে।",,
abb,পড়েন (N),,
alps,"সুইজারল্যাণ্ডের গিরিশ্রেণীবিশেষ (N), আল্প্স (N)",,
americanism,মার্কিনিপনা (N),,
anglophilia,ইংরেজপ্রীতি,,
aristotelian,"অ্যারিস্টটলের শিষ্য (N), গ্রীক পণ্ডিত অ্যারিস্টটল - সংক্রান্ত (Adj.)",,
australian,"অস্ট্রেলিয়াবাসী (N), অস্ট্রেলিয়া - মহাদেশীয় (Adj.)",,
as sure as fate,"অবশ্যম্ভাবী, সুনিশ্চিত",,
anti semite,"ইহুদী বিরোধী, যে কোন যুক্তিসঙ্গত কারন ছাড়াই ইহুদীদের ঘৃনা করে",,
a,ইংরেজী বর্ণমালার প্রথম বর্ণ,,
aback,পিছনদিকে,,
abaction,"গোগ্রহ (N), গোরু - চুরি (N)",,
abacus,স্তম্ভশীর্ষফলক,,
abaft,জাহাজের পিছনের দিকে,,
abandon,"পরিত্যাগ করা, বাধাবন্ধহীন উচ্ছ্বাস",,
abandon oneself to,"নিজেকে সঁপে দেওয়া, গা ঢেলে দেওয়া",,
abandoned,১. নষ্টচরিত্র,,
abandonment,"বিসর্জন (N), ত্যাগ (N), পরিক্ষেপ (N), বর্জন (N), পরিবর্জন (N), উদ্বাসন (N), ইস্তফা (N), ইস্তাফা (N), বেপরোয়া লোক (N), হাল ছাড়িয়া - দেত্তয়া ভাব (N)",,
abase,"হীন করা, হেয় করা",,
abased,নিচের দিকে - নামানো,,
abasement,নীচতা।,,
abash,"লজ্জা দেওয়া, অপ্রস্তুতে ফেলা",,
abashed,"লজ্জিত (Adj.), হতবুদ্ধি (Adj.), বিহ্বল (Adj.), নতমুখ (Adj.), সলজ্জ (Adj.), বিমূঢ় (Adj.), ত্রপিত (Adj.), বিভ্রান্ত (Adj.), কুণ্ঠিত (Adj.), আত্মহারা (Adj.)",,
abashment,"বিহ্বলতা (N), বিভ্রান্তি (N), বিমূঢ়তা (N), হতবুদ্ধিতা (N)",,
abate,"কমানো, প্রশমিত করা",,
abated,"কমান (Adj.), মন্দীভূত (Adj.)",,
abattoir,কসাইখানা (N),,
abbess,"মঠধারিণী (N), মোহান্ত (N), মঠাধ্যক্ষ (N)",,
abbey,সন্ন্যাসী বা সন্ন্যাসিনীদের মঠ,,
abbot,"মঠাধ্যক্ষ, মহারাজ",,
abbreviate,"ছোটো করে দেওয়া, সংক্ষিপ্ত করা",,
abbreviated,সংক্ষিপ্ত (Adj.),,
abbreviating,কাটছাঁট (N),,
abc,"বর্ণমালা, কোনো বিষয়ের প্রাথমিক জ্ঞান",,
abdicate,সিংহাসন ত্যাগ করা,,
abdication,"পরিত্যাগ (N), পদত্যাগ (N), প্রত্যাখ্যান (N), অস্বীকার (N)",,
abdomen,"পেট, তলপেট",,
abdominal,"পেটের, উদর ঘটিত",,
abdominal segment,উদরখণ্ডক,,
abduct,কৌশলে কাউকে অপহরণ করা,,
